¸ðµ¨ Á¤È®µµ: 93.3

  ÁÂ¿ì EAR°ª  |  Å¸°Ù  |  ¿¹Ãø |  Á¤´ä  |
 28.00 | 23.22 |    1    |    0    |  False |
 28.98 | 22.31 |    1    |    0    |  False |
 28.82 | 25.99 |    1    |    0    |  False |
 30.75 | 27.12 |    1    |    0    |  False |
 26.92 | 26.98 |    1    |    0    |  False |
 26.90 | 27.82 |    1    |    1    |   True |
 27.91 | 28.88 |    1    |    1    |   True |
 26.84 | 25.19 |    1    |    1    |   True |
 32.02 | 24.94 |    1    |    0    |  False |
 28.88 | 24.06 |    1    |    1    |   True |
 41.35 | 38.66 |    1    |    1    |   True |
 39.42 | 37.84 |    1    |    0    |  False |
 38.87 | 37.20 |    1    |    0    |  False |
 32.15 | 30.75 |    1    |    0    |  False |
 29.68 | 25.86 |    1    |    1    |   True |
 32.58 | 29.78 |    1    |    1    |   True |
 30.92 | 30.57 |    1    |    1    |   True |
 31.29 | 30.03 |    1    |    0    |  False |
 35.62 | 35.87 |    1    |    1    |   True |
 32.82 | 32.70 |    1    |    0    |  False |
 32.60 | 32.10 |    1    |    1    |   True |
 33.97 | 33.41 |    1    |    1    |   True |
 37.88 | 34.59 |    1    |    0    |  False |
 34.00 | 34.59 |    1    |    0    |  False |
 38.43 | 38.95 |    1    |    1    |   True |
 32.02 | 30.10 |    1    |    1    |   True |
 38.43 | 38.62 |    1    |    1    |   True |
 36.00 | 30.80 |    1    |    0    |  False |
 32.70 | 29.56 |    1    |    1    |   True |
 32.02 | 28.91 |    1    |    1    |   True |
 32.10 | 28.94 |    1    |    0    |  False |
 34.73 | 32.16 |    1    |    0    |  False |
 34.80 | 34.70 |    1    |    0    |  False |
 40.45 | 35.07 |    1    |    0    |  False |
 36.43 | 34.51 |    1    |    0    |  False |
 36.54 | 33.18 |    1    |    0    |  False |
 34.51 | 35.06 |    1    |    0    |  False |
 37.73 | 35.19 |    1    |    1    |   True |
 37.83 | 33.13 |    1    |    1    |   True |
 37.98 | 34.13 |    1    |    1    |   True |
 39.87 | 36.63 |    1    |    0    |  False |
 37.94 | 34.60 |    1    |    1    |   True |
 33.99 | 32.70 |    1    |    1    |   True |
 36.00 | 32.02 |    1    |    0    |  False |
 36.11 | 34.00 |    1    |    0    |  False |
 35.74 | 32.70 |    1    |    1    |   True |
 38.09 | 34.73 |    1    |    0    |  False |
 34.08 | 30.69 |    1    |    1    |   True |
 30.80 | 28.91 |    1    |    1    |   True |
 32.80 | 29.61 |    1    |    0    |  False |
 35.54 | 29.02 |    1    |    0    |  False |
 30.80 | 27.83 |    1    |    1    |   True |
 32.02 | 27.70 |    1    |    1    |   True |
 32.70 | 30.39 |    1    |    0    |  False |
 31.90 | 29.45 |    1    |    0    |  False |
 34.73 | 31.29 |    1    |    1    |   True |
 30.80 | 30.80 |    1    |    1    |   True |
 34.60 | 33.23 |    1    |    0    |  False |
 35.89 | 33.24 |    1    |    1    |   True |
 36.50 | 33.23 |    1    |    1    |   True |
 38.54 | 35.06 |    1    |    0    |  False |
 35.85 | 34.49 |    1    |    1    |   True |
 36.00 | 34.49 |    1    |    1    |   True |
 35.74 | 32.82 |    1    |    0    |  False |
 32.82 | 32.82 |    1    |    0    |  False |
 38.09 | 34.49 |    1    |    1    |   True |
 36.63 | 34.60 |    1    |    1    |   True |
 41.96 | 35.09 |    1    |    0    |  False |
 38.53 | 36.63 |    1    |    1    |   True |
 45.94 | 42.20 |    1    |    1    |   True |
 39.87 | 38.09 |    1    |    0    |  False |
 44.11 | 40.21 |    1    |    0    |  False |
 38.53 | 38.78 |    1    |    0    |  False |
 45.94 | 38.87 |    1    |    1    |   True |
 41.87 | 40.45 |    1    |    0    |  False |
 42.36 | 40.21 |    1    |    1    |   True |
 42.12 | 39.05 |    1    |    0    |  False |
 38.87 | 38.40 |    1    |    0    |  False |
 40.35 | 36.81 |    1    |    0    |  False |
 41.87 | 38.21 |    1    |    1    |   True |
 40.35 | 38.78 |    1    |    1    |   True |
 38.09 | 34.97 |    1    |    1    |   True |
 37.88 | 36.50 |    1    |    0    |  False |
 41.96 | 36.50 |    1    |    1    |   True |
 36.00 | 30.80 |    1    |    1    |   True |
 39.87 | 34.73 |    1    |    0    |  False |
 44.72 | 46.24 |    0    |    1    |  False |
 40.12 | 38.72 |    0    |    1    |  False |
 41.92 | 41.80 |    0    |    1    |  False |
 40.06 | 40.43 |    0    |    1    |  False |
 46.49 | 44.90 |    0    |    1    |  False |
 39.80 | 43.12 |    0    |    0    |   True |
 43.25 | 41.80 |    0    |    0    |   True |
 35.71 | 34.40 |    0    |    0    |   True |
 42.83 | 39.79 |    0    |    1    |  False |
 39.29 | 36.72 |    0    |    0    |   True |
 37.50 | 33.21 |    0    |    0    |   True |
 35.16 | 32.63 |    0    |    1    |  False |
 28.85 | 27.76 |    0    |    1    |  False |
 31.48 | 32.06 |    0    |    1    |  False |
 31.48 | 31.15 |    0    |    1    |  False |
 30.36 | 29.94 |    0    |    1    |  False |
 34.62 | 32.26 |    0    |    1    |  False |
 33.31 | 31.15 |    0    |    1    |  False |
 27.04 | 24.98 |    0    |    1    |  False |
 23.34 | 24.88 |    0    |    1    |  False |
 33.26 | 34.31 |    0    |    1    |  False |
 34.55 | 35.34 |    0    |    1    |  False |
 39.22 | 39.35 |    0    |    0    |   True |
 23.04 | 19.98 |    0    |    1    |  False |
 16.67 | 15.38 |    0    |    0    |   True |
 15.38 | 13.26 |    0    |    1    |  False |
 16.91 | 15.26 |    0    |    1    |  False |
 14.23 | 11.71 |    0    |    1    |  False |
 13.99 | 11.70 |    0    |    1    |  False |
 18.18 | 13.26 |    0    |    1    |  False |
 14.57 | 11.54 |    0    |    1    |  False |
 16.25 | 14.80 |    0    |    1    |  False |
 14.00 | 12.95 |    0    |    1    |  False |
 14.91 | 12.15 |    0    |    1    |  False |
 13.70 | 15.61 |    0    |    0    |   True |
 12.50 | 11.84 |    0    |    0    |   True |
 14.92 | 15.81 |    0    |    0    |   True |
 16.67 | 16.23 |    0    |    0    |   True |
 14.91 | 11.84 |    0    |    1    |  False |
 14.57 | 13.69 |    0    |    0    |   True |
 14.58 | 13.73 |    0    |    0    |   True |
 14.91 | 15.61 |    0    |    0    |   True |
 14.91 | 12.13 |    0    |    1    |  False |
 14.00 | 15.61 |    0    |    1    |  False |
 14.84 | 12.15 |    0    |    0    |   True |
 12.49 | 12.64 |    0    |    0    |   True |
 12.83 | 10.47 |    0    |    1    |  False |
 12.49 | 12.32 |    0    |    1    |  False |
 14.00 | 14.00 |    0    |    0    |   True |
 13.74 | 16.25 |    0    |    1    |  False |
 12.50 | 13.99 |    0    |    1    |  False |
 12.49 | 13.16 |    0    |    1    |  False |
 12.84 | 12.31 |    0    |    0    |   True |
 12.83 | 12.64 |    0    |    1    |  False |
 12.32 | 11.53 |    0    |    0    |   True |
 14.57 | 12.64 |    0    |    1    |  False |
 14.57 | 16.49 |    0    |    1    |  False |
 12.49 | 12.31 |    0    |    0    |   True |
 12.31 | 12.31 |    0    |    1    |  False |
 12.49 | 11.84 |    0    |    1    |  False |
 10.38 | 12.29 |    0    |    1    |  False |
 15.16 | 15.13 |    0    |    1    |  False |
 14.53 | 14.28 |    0    |    1    |  False |
 14.52 | 12.13 |    0    |    0    |   True |
 15.35 | 14.28 |    0    |    0    |   True |
 13.35 | 12.56 |    0    |    0    |   True |
 15.13 | 14.47 |    0    |    1    |  False |
 15.13 | 13.44 |    0    |    0    |   True |
 15.13 | 14.97 |    0    |    1    |  False |
 16.49 | 15.06 |    0    |    0    |   True |
 17.59 | 13.13 |    0    |    1    |  False |
 17.12 | 14.52 |    0    |    0    |   True |
 12.99 | 12.64 |    0    |    1    |  False |
 13.16 | 12.31 |    0    |    0    |   True |
 13.76 | 11.71 |    0    |    0    |   True |
 14.00 | 11.11 |    0    |    1    |  False |
 16.00 | 12.95 |    0    |    0    |   True |
 12.00 | 10.69 |    0    |    1    |  False |
 11.11 | 10.69 |    0    |    1    |  False |
 13.26 | 14.47 |    0    |    0    |   True |
 14.28 | 12.76 |    0    |    1    |  False |
 14.47 | 14.69 |    0    |    0    |   True |
 14.80 | 11.10 |    0    |    0    |   True |
 15.03 | 11.08 |    0    |    0    |   True |
 17.72 | 14.28 |    0    |    1    |  False |
 13.46 | 11.11 |    0    |    0    |   True |
 16.00 | 13.26 |    0    |    0    |   True |
 14.25 | 13.77 |    0    |    0    |   True |
 16.67 | 16.23 |    0    |    1    |  False |
 16.23 | 12.31 |    0    |    1    |  False |
 14.58 | 11.54 |    0    |    1    |  False |
 14.57 | 12.64 |    0    |    1    |  False |
 15.20 | 12.50 |    0    |    0    |   True |
 13.04 | 12.50 |    0    |    1    |  False |
 17.39 | 15.99 |    0    |    0    |   True |
 16.65 | 16.00 |    0    |    0    |   True |
 14.00 | 12.96 |    0    |    0    |   True |
 16.65 | 11.99 |    0    |    1    |  False |
 15.61 | 14.50 |    0    |    1    |  False |
 15.38 | 14.81 |    0    |    0    |   True |
 13.45 | 12.96 |    0    |    1    |  False |
 12.96 | 12.50 |    0    |    0    |   True |
 15.04 | 12.49 |    0    |    1    |  False |
 12.96 | 14.51 |    0    |    0    |   True |
 14.81 | 14.28 |    0    |    1    |  False |
 14.81 | 12.49 |    0    |    1    |  False |
 15.04 | 13.79 |    0    |    1    |  False |
 15.37 | 12.50 |    0    |    1    |  False |
 11.11 | 12.96 |    0    |    1    |  False |
 15.38 | 11.00 |    0    |    0    |   True |
 13.46 | 12.50 |    0    |    1    |  False |
 14.00 | 12.96 |    0    |    0    |   True |
 13.46 | 11.11 |    0    |    1    |  False |
 13.46 | 13.26 |    0    |    0    |   True |
 16.00 | 13.46 |    0    |    0    |   True |
 14.32 | 12.95 |    0    |    0    |   True |
 15.38 | 14.73 |    0    |    1    |  False |
 14.00 | 14.81 |    0    |    0    |   True |
 12.32 | 16.00 |    0    |    0    |   True |
 13.99 | 13.77 |    0    |    1    |  False |
 12.49 | 14.32 |    0    |    0    |   True |
 11.99 | 12.31 |    0    |    0    |   True |
 14.00 | 09.62 |    0    |    0    |   True |
 15.22 | 12.84 |    0    |    1    |  False |
 12.49 | 10.00 |    0    |    1    |  False |
 13.16 | 11.99 |    0    |    1    |  False |
 12.49 | 08.00 |    0    |    1    |  False |
 13.03 | 12.31 |    0    |    0    |   True |
 13.38 | 11.99 |    0    |    1    |  False |
 14.57 | 13.18 |    0    |    0    |   True |
 13.38 | 11.99 |    0    |    1    |  False |
 15.20 | 15.18 |    0    |    1    |  False |
 13.16 | 11.99 |    0    |    0    |   True |
 15.22 | 12.00 |    0    |    1    |  False |
 15.20 | 13.18 |    0    |    1    |  False |
 17.37 | 13.99 |    0    |    1    |  False |
 15.20 | 12.49 |    0    |    1    |  False |
 15.22 | 14.57 |    0    |    0    |   True |
 16.65 | 13.96 |    0    |    1    |  False |
 13.16 | 12.29 |    0    |    1    |  False |
 13.16 | 12.61 |    0    |    0    |   True |
 16.23 | 11.38 |    0    |    1    |  False |
 14.52 | 11.82 |    0    |    1    |  False |
 15.61 | 15.00 |    0    |    0    |   True |
 11.82 | 11.08 |    0    |    1    |  False |
 15.00 | 13.78 |    0    |    0    |   True |
 14.47 | 13.33 |    0    |    0    |   True |
 13.97 | 12.90 |    0    |    1    |  False |
 12.12 | 12.49 |    0    |    1    |  False |
 12.67 | 11.76 |    0    |    0    |   True |
 13.84 | 15.49 |    0    |    0    |   True |
 13.61 | 11.99 |    0    |    0    |   True |
 12.07 | 11.24 |    0    |    1    |  False |
 18.99 | 17.91 |    0    |    0    |   True |
 13.94 | 12.90 |    0    |    0    |   True |
 10.63 | 10.05 |    0    |    1    |  False |
 11.73 | 09.67 |    0    |    0    |   True |
 11.07 | 09.59 |    0    |    1    |  False |
 11.16 | 10.46 |    0    |    1    |  False |
 11.16 | 11.36 |    0    |    1    |  False |
 11.83 | 10.13 |    0    |    1    |  False |
 11.76 | 10.61 |    0    |    0    |   True |
 13.01 | 09.91 |    0    |    1    |  False |
 12.10 | 12.20 |    0    |    0    |   True |
 12.14 | 10.00 |    0    |    1    |  False |
 14.14 | 11.54 |    0    |    0    |   True |
 11.94 | 10.53 |    0    |    0    |   True |
 12.11 | 10.81 |    0    |    1    |  False |
 12.90 | 08.80 |    0    |    0    |   True |
 12.90 | 10.29 |    0    |    1    |  False |
 12.90 | 11.76 |    0    |    0    |   True |
 13.53 | 12.69 |    0    |    1    |  False |
 13.53 | 12.49 |    0    |    0    |   True |
 12.49 | 10.26 |    0    |    0    |   True |
 10.00 | 08.33 |    0    |    1    |  False |
 09.26 | 10.34 |    0    |    0    |   True |
 12.96 | 12.06 |    0    |    1    |  False |
 11.11 | 12.49 |    0    |    1    |  False |
 11.54 | 13.00 |    0    |    0    |   True |
 13.77 | 08.92 |    0    |    1    |  False |
 16.00 | 12.95 |    0    |    1    |  False |
 13.46 | 11.40 |    0    |    0    |   True |
 13.46 | 11.84 |    0    |    1    |  False |
 12.32 | 11.50 |    0    |    0    |   True |
 15.38 | 13.25 |    0    |    0    |   True |
 14.00 | 13.46 |    0    |    1    |  False |
 14.58 | 13.99 |    0    |    0    |   True |
 17.39 | 11.99 |    0    |    1    |  False |
 15.91 | 12.83 |    0    |    1    |  False |
 17.37 | 16.65 |    0    |    0    |   True |
 17.39 | 14.57 |    0    |    0    |   True |
 15.22 | 14.58 |    0    |    1    |  False |
 13.64 | 15.56 |    0    |    0    |   True |
 11.36 | 08.69 |    0    |    0    |   True |
 17.39 | 14.58 |    0    |    1    |  False |
 18.46 | 14.84 |    0    |    1    |  False |
 15.22 | 14.58 |    0    |    1    |  False |
 17.39 | 15.20 |    0    |    1    |  False |
 14.58 | 15.99 |    0    |    0    |   True |
 15.22 | 14.84 |    0    |    1    |  False |
